ID,Marks,Grade
1,42,F
2,100,F
3,32,B
4,34,D
5,29,A
6,95,A
7,78,F
8,48,B
9,59,A
10,7,A
11,87,D
12,67,C
13,44,D
14,2,C
15,25,A
16,7,A
17,76,D
18,79,D
19,96,D
20,19,D
21,86,F
22,46,D
23,52,D
24,94,F
25,24,F
26,43,A
27,34,D
28,57,A
29,60,C
30,85,B
31,82,B
32,78,D
33,27,A
34,84,F
35,77,D
36,55,D
37,77,D
38,15,B
39,39,F
40,53,A
41,45,A
42,11,F
43,31,F
44,92,B
45,83,D
46,72,C
47,50,B
48,55,A
49,43,A
50,18,F
51,78,B
52,56,B
53,45,B
54,77,A
55,65,C
56,84,D
57,28,B
58,49,C
59,20,B
60,62,A
61,83,A
62,99,D
63,72,C
64,100,C
65,92,B
66,28,A
67,64,A
68,70,D
69,15,C
70,20,C
71,87,F
72,17,B
73,93,F
74,3,C
75,36,C
76,45,F
77,81,C
78,82,F
79,45,B
80,71,A
81,87,F
82,51,F
83,79,A
84,68,B
85,3,A
86,98,C
87,33,C
88,17,C
89,65,A
90,4,F
91,93,D
92,38,A
93,61,F
94,35,A
95,75,D
96,18,D
97,34,B
98,74,D
99,31,B
100,17,D
